year,prefecture,population,gdp2015,dis_expen,maintain_expen,restore_expen
2016,Nara,1357000,3752176,1867061,3298895,1867061
2016,Wakayama,956000,3793751,3541725,3580561,3539415
2016,Tottori,570000,1903660,1174703,5543760,1174703
2016,Shimane,691000,2590762,2190047,9757579,2190047
2016,Okayama,1917000,7778982,369460,10202507,369459
2016,Hiroshima,2840000,12427057,3286224,10401906,3286224
2016,Yamaguchi,1394000,6239515,2445398,4510213,2445398
2016,Tokushima,750000,3144008,2789801,5351391,2789801
2016,Kagawa,973000,3890373,730172,7320841,730172
2016,Ehime,1377000,5041798,1718738,3754674,1718738
2016,Kochi,721000,2461484,6118811,6021173,6118811
2016,Fukuoka,5113000,19521899,1337427,5604960,1337427
2016,Saga,829000,2962137,640887,1789135,640887
2016,Nagasaki,1367000,4619956,1367973,5488258,1367973
2016,Kumamoto,1775000,6048779,45152109,5100477,45152109
2016,Oita,1160000,4357228,2852292,2950015,2852292
2016,Miyazaki,1097000,3698950,4456878,6006689,4456523
2016,Kagoshima,1637000,5658211,5826546,4301365,5826546
2016,Okinawa,1442000,4308444,1801154,3912464,1801154
2015,Hokkaido,5381733,19966861,6348072,24466138,6329113
2015,Aomori,1308265,4581982,1524490,14312738,1524490
2015,Iwate,1279594,4680603,100361147,14391978,100361147
2015,Miyagi,2333899,9865823,138504535,4328749,138504535
2015,Akita,1023119,3436136,2552959,2608054,2539729
2015,Yamagata,1123891,4039955,4186217,7560211,4186217
2015,Fukushima,1914039,7813613,93344209,18937048,93344209
2015,Ibaraki,2916976,13374797,5704420,7845187,5700862
2015,Tochigi,1974255,9075532,9402056,6738659,9402056
2015,Gunma,1973115,8923441,967997,3032858,967997
2015,Saitama,7266534,22706752,2785062,12641801,2785062
2015,Chiba,6222666,20692605,745611,2053106,745611
2015,Tokyo,13515271,110020800,4459735,100505837,4441157
2015,Kanagawa,9126214,33739444,440276,9386774,440276
2015,Niigata,2304264,9052733,5122589,19656737,5122589
2015,Toyama,1066328,4753255,748373,6024071,748373
2015,Ishikawa,1154008,4782483,2370981,4655726,2370981
2015,Fukui,786740,3426771,1749912,3617020,1749912
2015,Yamanashi,834930,3368380,942225,3094866,942225
2015,Nagano,2098804,8290182,4907404,12177531,4907404
2015,Gifu,2031903,7515341,7284380,9243475,7284380
2015,Shizuoka,3700305,17521844,3186464,8283501,3186464
2015,Aichi,7483128,41913452,216853,20247550,216838
2015,Mie,1815865,8069128,6610174,4947283,6610174
2015,Shiga,1412916,6301204,1875857,2402237,1875848
2015,Kyoto,2610353,10481393,5538187,3249556,5538187
2015,Osaka,8839469,40067136,342381,23006483,342381
2015,Hyogo,5534800,21619621,12368406,10642933,12368406
2015,Nara,1364316,3665435,4797989,2910305,4797989
2015,Wakayama,963579,3621577,6697791,3408376,6645827
2015,Tottori,573441,1872800,624487,6428223,624487
2015,Shimane,694352,2582715,4540876,9416482,4540876
2015,Okayama,1921525,7857053,370133,9163503,370133
2015,Hiroshima,2843990,12361309,2833944,10062065,2833944
2015,Yamaguchi,1404729,5896850,4378896,4654738,4378896
2015,Tokushima,755733,3160440,3596015,5642772,3596015
2015,Kagawa,976263,3829865,1172643,8995345,1172643
2015,Ehime,1385262,4983460,1654505,3199147,1654505
2015,Kochi,728276,2432385,8980912,6223787,8965279
2015,Fukuoka,5101556,19301759,1787750,4359661,1787750
2015,Saga,832832,2954221,371461,1646417,371461
2015,Nagasaki,1377187,4498483,1194765,5399064,1194765
2015,Kumamoto,1786170,5842381,3825417,5740163,3825417
2015,Oita,1166338,4429898,1371882,2605609,1371882
2015,Miyazaki,1104069,3650369,2534776,5613498,2534776
2015,Kagoshima,1648177,5566514,3345113,4308250,3345113
2015,Okinawa,1433566,4161413,1943368,2715372,1943368
2014,Hokkaido,5410000,19317598,4939707,21252882,4938265
2014,Aomori,1323000,4354535,4640706,15016872,4635422
2014,Iwate,1290000,4653463,112875740,12875983,112875740
2014,Miyagi,2335000,9360976,121662465,2749045,121653071
2014,Akita,1037000,3377733,6188424,2637729,6188424
2014,Yamagata,1134000,3909262,8975358,9381103,8975358
2014,Fukushima,1927000,7649836,66422736,19313261,66422736
2014,Ibaraki,2927000,12684160,5268127,7566839,5264687
2014,Tochigi,1980000,8621682,600037,6541413,600037
2014,Gunma,1979000,8580437,1247927,2969947,1247927
2014,Saitama,7247000,21920291,579072,12352208,579072
2014,Chiba,6209000,20020337,3192273,2012827,3192273
2014,Tokyo,13399000,106501553,4350971,96590981,4350971
2014,Kanagawa,9103000,32560227,67872,9397331,67872
2014,Niigata,2320000,8763889,13177869,24009308,13153754
2014,Toyama,1072000,4561404,1293566,6957047,1293566
2014,Ishikawa,1157000,4579443,1845461,5048397,1845461
2014,Fukui,791000,3233510,3964095,3647342,3964095
2014,Yamanashi,841000,3194675,808354,2871836,808354
2014,Nagano,2110000,7894634,5781747,13863589,5781747
2014,Gifu,2043000,7192718,4718536,8125149,4718536
2014,Shizuoka,3715000,16955937,4042434,8479985,4042434
2014,Aichi,7464000,39647921,400065,20178637,399911
2014,Mie,1826000,7823391,8962161,5340173,8962161
2014,Shiga,1414000,6037361,6843128,2796670,6843128
2014,Kyoto,2616000,9922615,9049780,3372259,9049780
2014,Osaka,8845000,38736206,649211,23854338,649211
2014,Hyogo,5550000,20641328,9959293,10646357,9959293
2014,Nara,1373000,3696808,5944780,2857142,5944765
2014,Wakayama,972000,3660753,10126180,3340649,10039165
2014,Tottori,577000,1773893,2408574,6773089,2408574
2014,Shimane,699000,2453403,8775378,9264189,8775378
2014,Okayama,1926000,7376968,2141304,9999080,2141304
2014,Hiroshima,2846000,11788103,3104786,11264536,3104786
2014,Yamaguchi,1415000,6083327,10456694,4581144,10456694
2014,Tokushima,763000,3098378,1839142,4910244,1839142
2014,Kagawa,980000,3713710,818213,9206266,818213
2014,Ehime,1396000,4808429,1622903,3083360,1622903
2014,Kochi,736000,2369936,4400785,6683137,4400744
2014,Fukuoka,5099000,18664159,5770118,4334289,5770118
2014,Saga,837000,2842685,551146,1651326,551146
2014,Nagasaki,1387000,4116510,1380058,5494054,1380058
2014,Kumamoto,1795000,5688237,4632889,5305567,4632889
2014,Oita,1173000,4229588,4387030,2581777,4387030
2014,Miyazaki,1112000,3520542,1928364,5916365,1928364
2014,Kagoshima,1662000,5342676,2092611,4067903,2092611
2014,Okinawa,1426000,3963043,839043,2592681,839043
2013,Hokkaido,5438000,18943505,2352922,20125081,2349508
2013,Aomori,1337000,4333124,2098160,14639229,2098160
