"eq_id","prefecture","mean_pga","max_pga"
"us20002et4","Kumamoto",NA,NA
"us20002et4","Kyoto",NA,NA
"us20002et4","Mie",NA,NA
"us20002et4","Miyagi",6.27780675888062,23.950594357976
"us20002et4","Miyazaki",NA,NA
"us20002et4","Nagano",NA,NA
"us20002et4","Nagasaki",NA,NA
"us20002et4","Nara",NA,NA
"us20002et4","Niigata",NA,NA
"us20002et4","Oita",NA,NA
"us20002et4","Okayama",NA,NA
"us20002et4","Okinawa",NA,NA
"us20002et4","Osaka",NA,NA
"us20002et4","Saga",NA,NA
"us20002et4","Saitama",NA,NA
"us20002et4","Shiga",NA,NA
"us20002et4","Shimane",NA,NA
"us20002et4","Shizuoka",NA,NA
"us20002et4","Tochigi",NA,NA
"us20002et4","Tokushima",NA,NA
"us20002et4","Tokyo",NA,NA
"us20002et4","Tottori",NA,NA
"us20002et4","Toyama",NA,NA
"us20002et4","Wakayama",NA,NA
"us20002et4","Yamagata",1.23711061477661,3.1195137138775
"us20002et4","Yamaguchi",NA,NA
"us20002et4","Yamanashi",NA,NA
"us20002ki3","Aichi",NA,NA
"us20002ki3","Akita",NA,NA
"us20002ki3","Aomori",NA,NA
"us20002ki3","Chiba",NA,NA
"us20002ki3","Ehime",NA,NA
"us20002ki3","Fukui",NA,NA
"us20002ki3","Fukuoka",NA,NA
"us20002ki3","Fukushima",NA,NA
"us20002ki3","Gifu",NA,NA
"us20002ki3","Gunma",NA,NA
"us20002ki3","Hiroshima",NA,NA
"us20002ki3","Hokkaido",NA,NA
"us20002ki3","Hyogo",NA,NA
"us20002ki3","Ibaraki",NA,NA
"us20002ki3","Ishikawa",NA,NA
"us20002ki3","Iwate",NA,NA
"us20002ki3","Kagawa",NA,NA
"us20002ki3","Kagoshima",NA,NA
"us20002ki3","Kanagawa",NA,NA
"us20002ki3","Kochi",NA,NA
"us20002ki3","Kumamoto",NA,NA
"us20002ki3","Kyoto",NA,NA
"us20002ki3","Mie",NA,NA
"us20002ki3","Miyagi",NA,NA
"us20002ki3","Miyazaki",NA,NA
"us20002ki3","Nagano",NA,NA
"us20002ki3","Nagasaki",NA,NA
"us20002ki3","Nara",NA,NA
"us20002ki3","Niigata",NA,NA
"us20002ki3","Oita",NA,NA
"us20002ki3","Okayama",NA,NA
"us20002ki3","Okinawa",NA,NA
"us20002ki3","Osaka",NA,NA
"us20002ki3","Saga",NA,NA
"us20002ki3","Saitama",NA,NA
"us20002ki3","Shiga",NA,NA
"us20002ki3","Shimane",NA,NA
"us20002ki3","Shizuoka",NA,NA
"us20002ki3","Tochigi",NA,NA
"us20002ki3","Tokushima",NA,NA
"us20002ki3","Tokyo",0.554008901119232,0.761664728537059
"us20002ki3","Tottori",NA,NA
"us20002ki3","Toyama",NA,NA
"us20002ki3","Wakayama",NA,NA
"us20002ki3","Yamagata",NA,NA
"us20002ki3","Yamaguchi",NA,NA
"us20002ki3","Yamanashi",NA,NA
"us20002kpm","Aichi",NA,NA
"us20002kpm","Akita",NA,NA
"us20002kpm","Aomori",NA,NA
"us20002kpm","Chiba",NA,NA
"us20002kpm","Ehime",NA,NA
"us20002kpm","Fukui",NA,NA
"us20002kpm","Fukuoka",NA,NA
"us20002kpm","Fukushima",NA,NA
"us20002kpm","Gifu",NA,NA
"us20002kpm","Gunma",NA,NA
"us20002kpm","Hiroshima",NA,NA
"us20002kpm","Hokkaido",NA,NA
"us20002kpm","Hyogo",NA,NA
"us20002kpm","Ibaraki",NA,NA
"us20002kpm","Ishikawa",NA,NA
"us20002kpm","Iwate",NA,NA
"us20002kpm","Kagawa",NA,NA
"us20002kpm","Kagoshima",NA,NA
"us20002kpm","Kanagawa",NA,NA
"us20002kpm","Kochi",NA,NA
"us20002kpm","Kumamoto",NA,NA
"us20002kpm","Kyoto",NA,NA
"us20002kpm","Mie",NA,NA
